species,lon,lat,group
arabis,12.85,47.13,11
arabis,12.75,47.51,11
arabis,12.18,47.19,11
arabis,13.77,47,11
arabis,12.67,47.55,11
arabis,13.13,47.59,11
arabis,14.41,48.03,11
arabis,13.13,47.41,11
arabis,13.09,47.38,11
arabis,13.37,47.18,11
arabis,12.74,47.5,11
arabis,13.59,47.06,11
arabis,12.97,47.05,11
arabis,12.8,47.15,11
arabis,13.2,47.54,11
arabis,13.23,47.6,11
arabis,13.1,47.55,11
arabis,13.55,47.46,11
arabis,14.92,47.09,11
arabis,13.42,47.63,11
arabis,13.28,47.67,11
arabis,13.36,47.55,11
arabis,-20.97,64.7,11
arabis,12.57,47.25,11
arabis,13.01,47.73,11
arabis,12.67,47.56,11
arabis,13.57,47.29,11
arabis,13.4,47.19,11
arabis,12.86,47.08,11
arabis,12.62,47.21,11
arabis,10.54,46.93,11
arabis,13.3,47.78,11
arabis,13.46,47.3,11
arabis,13.8,47.26,11
arabis,12.62,47.06,11
arabis,12.8,47.62,11
arabis,13.17,47.12,11
arabis,13.24,47.73,11
arabis,13.29,47.15,11
arabis,13.35,47.54,11
arabis,12.92,47.17,11
arabis,12.7,47.56,11
arabis,12.76,46.97,11
arabis,13.37,47.21,11
arabis,13.13,47.51,11
arabis,13.71,47.04,11
arabis,13.39,47.72,11
arabis,12.8,47.6,11
arabis,12.8,47.55,11
arabis,13.64,47.23,11
arabis,12.95,47.24,11
arabis,13.75,47.25,11
arabis,13.24,47.15,11
arabis,12.86,47.51,11
arabis,13.48,47.22,11
arabis,13.27,47.13,11
arabis,13.07,47.47,11
arabis,13.43,47.48,11
arabis,13.02,47.45,11
arabis,12.39,47.17,11
arabis,12.22,47.24,11
arabis,13.58,47.27,11
arabis,13.44,47.49,11
arabis,13.38,47.2,11
arabis,12.65,47.61,11
arabis,12.36,47.19,11
arabis,12.54,47.17,11
arabis,13.34,47.42,11
arabis,13.34,47.63,11
arabis,13.38,47.26,11
arabis,13.33,47.22,11
arabis,12.43,47.18,11
arabis,13.78,46.98,11
arabis,12.72,47.57,11
arabis,12.62,47.07,11
arabis,13.36,47.25,11
arabis,12.83,47.12,11
arabis,12.62,47.17,11
arabis,13.53,47.8,11
arabis,13.47,47.53,11
arabis,13.82,47.3,11
arabis,13.38,47.54,11
arabis,13.06,47.39,11
arabis,12.68,47.57,11
arabis,12.89,47.16,11
arabis,12.83,47.52,11
arabis,13.08,47.69,11
arabis,12.64,47.37,11
arabis,13.44,47.21,11
arabis,12.69,47.21,11
arabis,13.47,47.2,11
arabis,12.12,47.29,11
arabis,13.16,47.29,11
arabis,13.39,47.18,11
arabis,12.8,46.96,11
arabis,13.42,47.16,11
arabis,13.13,47.11,11
arabis,13.13,47.42,11
arabis,12.77,47.62,11
arabis,13.43,47.17,11
arabis,13.63,47.13,11
arabis,13.12,47.57,11
arabis,12.81,47.16,11
arabis,13.15,47.58,11
arabis,12.99,47.74,11
arabis,13.22,47.77,11
arabis,13.12,47.66,11
arabis,13.54,47.24,11
arabis,13.07,47.59,11
arabis,12.83,47.11,11
arabis,13.33,47.23,11
arabis,12.83,47.09,11
arabis,12.32,47.24,11
arabis,12.86,47.2,11
arabis,12.75,46.99,11
arabis,13.06,47.56,11
arabis,13.37,47.19,11
arabis,13.06,47.29,11
arabis,13.04,47.25,11
arabis,13.24,47.48,11
arabis,13.41,47.27,11
